DATE,FedInterestRate,Inflation,GDP,S&P500Close,UmemploymentRate,GovernmentDebtGDP,CorporateDebt,PoundDollar,DollarYen,SP5006monthslater
01/01/1973,5.94,0.036,1377.49,116.029999,0.049,0.33293,206028,2.3563,301.7882,104.260002
01/02/1973,6.58,0.039,1377.49,111.68,0.05,0.33293,206028,2.4272,278.4206,108.220001
01/03/1973,7.09,0.046,1377.49,111.519997,0.049,0.33293,206028,2.4724,261.9014,104.25
01/04/1973,7.12,0.051,1413.887,106.970001,0.05,0.32345,209771,2.4837,265.4914,108.43
01/05/1973,7.84,0.055,1413.887,104.949997,0.049,0.32345,209771,2.5306,264.6505,108.290001
01/06/1973,8.49,0.06,1413.887,104.260002,0.049,0.32345,209771,2.5762,264.4981,95.959999
01/07/1973,10.4,0.057,1433.838,108.220001,0.048,0.32125,213220,2.5375,264.5538,97.550003
01/08/1973,10.5,0.074,1433.838,104.25,0.048,0.32125,213220,2.4757,265.22,96.57
01/09/1973,10.78,0.074,1433.838,108.43,0.048,0.32125,213220,2.4183,265.4747,96.220001
01/10/1973,10.01,0.078,1476.289,108.290001,0.046,0.31774,217721,2.4292,266.3348,93.980003
01/11/1973,10.03,0.083,1476.289,95.959999,0.048,0.31774,217721,2.387,278.2625,90.309998
01/12/1973,9.95,0.087,1476.289,97.550003,0.049,0.31774,217721,2.3174,280.1775,87.279999
01/01/1974,9.65,0.094,1491.209,96.57,0.051,0.31764,222690,2.224,298.1336,86
01/02/1974,8.97,0.1,1491.209,96.220001,0.052,0.31764,222690,2.2749,291.0872,79.309998
01/03/1974,9.35,0.104,1491.209,93.980003,0.051,0.31764,222690,2.3406,282.1648,72.150002
01/04/1974,10.51,0.101,1530.056,90.309998,0.051,0.30995,229232,2.3886,277.7741,63.540001
01/05/1974,11.31,0.107,1530.056,87.279999,0.051,0.30995,229232,2.4137,278.9664,73.900002
01/06/1974,11.93,0.109,1530.056,86,0.054,0.30995,229232,2.3902,282.97,69.970001
01/07/1974,12.92,0.115,1560.026,79.309998,0.055,0.30863,236357,2.3896,290.98,68.559998
01/08/1974,12.01,0.109,1560.026,72.150002,0.055,0.30863,236357,2.3456,302.2836,76.980003
01/09/1974,11.34,0.119,1560.026,63.540001,0.059,0.30863,236357,2.3165,299.084,81.589996
